side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
10,2,4.641588833612782e-05,0.01,300,21545,113.84803858333333,0.37949346194444444,543248
10,2,0.0001,0.01,1402,10001,246.97583124722223,0.1761596513888889,519980
10,2,0.00021544346900318823,0.01,6564,4642,536.7199956133334,0.08176721444444444,509882
10,2,0.00046415888336127773,0.01,30849,2155,1171.0567724158334,0.03796093138888889,455414
10,2,0.001,0.01,145723,1001,2188.9661437883333,0.015021418333333333,477824
10,2,0.002154434690031882,0.01,694126,465,4844.150332526667,0.006978776666666667,406446
10,2,0.004641588833612777,0.01,3347278,216,10852.057516691111,0.0032420544444444446,350138
10,2,0.01,0.01,16308089,101,24731.325689093333,0.0015165066666666667,341368
20,1,1e-05,0.01,222,100000,2511.83785483,11.314584931666667,1750256
20,1,2.1544346900318823e-05,0.01,1030,46416,4711.357298999999,4.5741333,1997068
20,1,4.641588833612782e-05,0.01,4800,21545,10191.309084,2.1231893925,1719370
20,1,0.0001,0.01,22420,10001,22096.482121538887,0.9855701213888889,1467462
20,1,0.00021544346900318823,0.01,105011,4642,48038.339031563606,0.45746006638888886,1461284
20,1,0.00046415888336127773,0.01,493581,2155,104823.65722194668,0.2123737688888889,1459168
20,1,0.001,0.01,2331566,1001,230008.39458895611,0.09864974638888889,1228426
20,1,0.002154434690031882,0.01,11106013,465,508968.2795512425,0.0458281725,1222936
20,1,0.004641588833612777,0.01,53556442,216,971233.1626167623,0.01813475888888889,1202740
20,1,0.01,0.01,260929423,101,2212882.6401368957,0.008480770833333333,995618
20,2,1e-05,0.01,222,100000,1255.918927415,5.657292465833334,1859248
20,2,2.1544346900318823e-05,0.01,1030,46416,2355.6786494999997,2.28706665,2095820
20,2,4.641588833612782e-05,0.01,4800,21545,5095.654542666667,1.061594696388889,1812490
20,2,0.0001,0.01,22420,10001,11048.241063883333,0.49278506083333334,1550342
20,2,0.00021544346900318823,0.01,105011,4642,24019.169530366667,0.22873003333333333,1549284
20,2,0.00046415888336127773,0.01,493581,2155,52411.82861097334,0.10618688444444445,1319072
20,2,0.001,0.01,2331566,1001,115004.19761830666,0.04932487333333333,1307210
20,2,0.002154434690031882,0.01,11106013,465,254484.14131812306,0.02291408638888889,1306328
20,2,0.004641588833612777,0.01,53556442,216,485616.58130838117,0.009067379444444445,1267700
20,2,0.01,0.01,260929423,101,1106441.3563086456,0.004240385555555556,1052386
