side,n_factories,gamma,delta_e,n_repetitions,oracle_depth,t_tot_hr,t_max_hr,footprint
2,2,1.389495494373136e-08,0.01,5,4516,0.08397302638888889,0.016794605277777777,369440
2,2,1.9306977288832496e-08,0.01,5,4442,0.08259742361111112,0.016519484722222224,366112
2,2,2.682695795279727e-08,0.01,5,4367,0.08120323055555556,0.01624064611111111,352800
2,2,3.7275937203149377e-08,0.01,5,4290,0.07977185972222223,0.015954371944444445,340512
2,2,5.1794746792312124e-08,0.01,5,4213,0.0783404875,0.0156680975,340512
2,2,7.196856730011513e-08,0.01,5,4134,0.0768719388888889,0.015374387777777778,340512
2,2,1e-07,0.01,6,4054,0.09045565,0.015075941666666667,338012
2,2,1.389495494373136e-07,0.01,6,3972,0.08862646833333333,0.014771078055555555,323036
2,2,1.9306977288832497e-07,0.01,6,3889,0.08677498166666667,0.014462496944444445,323036
2,2,2.6826957952797275e-07,0.01,6,3805,0.08490118666666667,0.014150197777777778,323036
2,2,3.727593720314938e-07,0.01,7,3719,0.09681323944444445,0.013830462777777778,311772
2,2,5.179474679231202e-07,0.01,7,3632,0.09454907,0.01350701,311772
2,2,7.196856730011514e-07,0.01,7,3543,0.09223285166666667,0.013176121666666667,311772
2,2,1e-06,0.01,8,3453,0.08947636666666667,0.011184545833333333,280028
2,2,1.389495494373136e-06,0.01,8,3361,0.08709310666666667,0.010886638333333334,268764
2,2,1.9306977288832498e-06,0.01,8,3267,0.08465803555555555,0.010582254444444444,255036
2,2,2.6826957952797274e-06,0.01,9,3172,0.09247169250000001,0.0102746325,255036
2,2,3.727593720314938e-06,0.01,9,3075,0.08964481,0.009960534444444445,244796
2,2,5.179474679231202e-06,0.01,10,2976,0.0963996,0.00963996,244796
2,2,7.196856730011514e-06,0.01,11,2876,0.1024776225,0.0093161475,244796
2,2,1e-05,0.01,12,2775,0.10786916333333334,0.008989096944444445,244796
2,2,1.3894954943731361e-05,0.01,13,2672,0.11252240999999999,0.00865557,232316
2,2,1.9306977288832496e-05,0.01,14,2569,0.11650860666666665,0.008322043333333333,232316
2,2,2.682695795279722e-05,0.01,15,2465,0.119779175,0.007985278333333333,223100
2,2,3.727593720314938e-05,0.01,17,2361,0.13002472666666667,0.007648513333333333,223100
2,2,5.1794746792312125e-05,0.01,19,2257,0.13892321833333332,0.007311748333333333,223100
2,2,7.196856730011514e-05,0.01,22,2154,0.15352087055555555,0.006978221388888889,223100
2,2,0.0001,0.01,25,2052,0.1661983125,0.0066479325,223100
2,2,0.0001389495494373136,0.01,29,1953,0.15630459472222222,0.005389813611111111,194730
2,2,0.00019306977288832496,0.01,35,1855,0.17918215972222223,0.005119490277777778,185514
2,2,0.0002682695795279722,0.01,44,1761,0.2138488122222222,0.004860200277777778,174426
2,2,0.0003727593720314938,0.01,57,1669,0.26256635166666664,0.004606427222222222,174426
2,2,0.0005179474679231202,0.01,77,1577,0.3351543708333333,0.004352654166666667,166234
2,2,0.0007196856730011514,0.01,120,1390,0.4604199666666666,0.0038368330555555554,166234
2,2,0.001,0.01,234,1001,0.646605115,0.002763269722222222,165078
2,2,0.001389495494373136,0.01,456,720,0.9066002000000001,0.0019881583333333334,163670
2,2,0.0019306977288832496,0.01,890,518,1.2735553888888889,0.001430961111111111,155478
2,2,0.002682695795279722,0.01,1741,373,1.7943771255555556,0.001030658888888889,155028
2,2,0.003727593720314938,0.01,3411,269,2.537050635,0.000743785,155028
2,2,0.005179474679231202,0.01,6701,194,3.5934428936111114,0.0005362547222222222,146960
2,2,0.007196856730011514,0.01,13286,139,5.109031655,0.0003845425,146960
2,2,0.01,0.01,26093,101,7.297443806111111,0.00027967055555555554,146510
5,1,1e-09,0.01,5,26903,3.1936779347222224,0.6387355869444444,468476
5,1,1.389495494373136e-09,0.01,5,26497,3.145482351388889,0.6290964702777778,461308
